bidder_id,requirement_id,expected_result
SURYODAYA,REQ-PAN-01,PASS
SURYODAYA,REQ-GST-01,PASS
SURYODAYA,REQ-MSME-UDYAM-01,PASS
SURYODAYA,REQ-BIS-CERT-01,PASS
SURYODAYA,REQ-OEM-AUTH-01,PASS
SURYODAYA,REQ-MII-01,PASS
SURYODAYA,REQ-DEBAR-01,PASS
SURYODAYA,REQ-EMD-01,PASS
SURYODAYA,REQ-EXP-01,PASS
SURYODAYA,REQ-TURNOVER-01,PASS
VENDHAR,REQ-PAN-01,PASS
VENDHAR,REQ-GST-01,PASS
VENDHAR,REQ-MSME-UDYAM-01,PASS
VENDHAR,REQ-BIS-CERT-01,PASS
VENDHAR,REQ-OEM-AUTH-01,MISSING
VENDHAR,REQ-MII-01,PASS
VENDHAR,REQ-DEBAR-01,PASS
VENDHAR,REQ-EMD-01,PASS
VENDHAR,REQ-EXP-01,PASS
VENDHAR,REQ-TURNOVER-01,PASS
KAVERI,REQ-PAN-01,PASS
KAVERI,REQ-GST-01,MISMATCH
KAVERI,REQ-MSME-UDYAM-01,PASS
KAVERI,REQ-BIS-CERT-01,PASS
KAVERI,REQ-OEM-AUTH-01,PASS
KAVERI,REQ-MII-01,PASS
KAVERI,REQ-DEBAR-01,PASS
KAVERI,REQ-EMD-01,PASS
KAVERI,REQ-EXP-01,PASS
KAVERI,REQ-TURNOVER-01,PASS
ANBU,REQ-PAN-01,PASS
ANBU,REQ-GST-01,PASS
ANBU,REQ-MSME-UDYAM-01,PASS
ANBU,REQ-BIS-CERT-01,FAIL
ANBU,REQ-OEM-AUTH-01,PASS
ANBU,REQ-MII-01,PASS
ANBU,REQ-DEBAR-01,PASS
ANBU,REQ-EMD-01,PASS
ANBU,REQ-EXP-01,PASS
ANBU,REQ-TURNOVER-01,PASS
THIRUVALLUVAR,REQ-PAN-01,PASS
THIRUVALLUVAR,REQ-GST-01,PASS
THIRUVALLUVAR,REQ-MSME-UDYAM-01,PASS
THIRUVALLUVAR,REQ-BIS-CERT-01,PASS
THIRUVALLUVAR,REQ-OEM-AUTH-01,PASS
THIRUVALLUVAR,REQ-MII-01,PASS
THIRUVALLUVAR,REQ-DEBAR-01,PASS
THIRUVALLUVAR,REQ-EMD-01,PASS
THIRUVALLUVAR,REQ-EXP-01,PASS
THIRUVALLUVAR,REQ-TURNOVER-01,MANUAL_REVIEW
NANDHI,REQ-PAN-01,PASS
NANDHI,REQ-GST-01,PASS
NANDHI,REQ-MSME-UDYAM-01,PASS
NANDHI,REQ-EXP-AMC-01,PASS
NANDHI,REQ-MANPOWER-01,PASS
NANDHI,REQ-EPFO-ESIC-01,PASS
NANDHI,REQ-SLA-01,PASS
NANDHI,REQ-DEBAR-01,PASS
NANDHI,REQ-EMD-01,PASS
