bidder_id,tender_number,archetype,requirement_code,mandatory,expected_result
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-PAN-01,True,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-GST-01,True,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-MSME-UDYAM-01,False,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-BIS-CERT-01,True,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-OEM-AUTH-01,True,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-MII-01,True,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-DEBAR-01,True,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-EMD-01,True,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-EXP-01,True,PASS
Suryodaya Safety Systems Pvt Ltd,GEM/2026/B/SAFETY-001,Clean,REQ-TURNOVER-01,True,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-PAN-01,True,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-GST-01,True,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-MSME-UDYAM-01,False,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-BIS-CERT-01,True,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-OEM-AUTH-01,True,MISSING
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-MII-01,True,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-DEBAR-01,True,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-EMD-01,True,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-EXP-01,True,PASS
Vendhar Fire Solutions,GEM/2026/B/SAFETY-001,Missing-doc,REQ-TURNOVER-01,True,PASS
Kaveri PPE Traders,GEM/2026/B/SAFETY-001,Mismatch,REQ-PAN-01,True,PASS
Kaveri PPE Traders,GEM/2026/B/SAFETY-001,Mismatch,REQ-GST-01,True,MISMATCH
Kaveri PPE Traders,GEM/2026/B/SAFETY-001,Mismatch,REQ-MSME-UDYAM-01,False,PASS
Kaveri PPE Traders,GEM/2026/B/SAFETY-001,Mismatch,REQ-BIS-CERT-01,True,PASS
Kaveri PPE Traders,GEM/2026/B/SAFETY-001,Mismatch,REQ-OEM-AUTH-01,True,PASS
Kaveri PPE Traders,GEM/2026/B/SAFETY-001,Mismatch,REQ-MII-01,True,PASS
Kaveri PPE Traders,GEM/2026/B/SAFETY-001,Mismatch,REQ-DEBAR-01,True,PASS
